Name,Explanation,Byline,NIfTI,Creator,Contact,WWW,Availability,HowToGet,Version,Date,OpenSource,License,Free,Requirements,TechPubs,ApplPubs,OtherInfo,Keywords,Platforms,LastIATRupdate,Description
Brain Atlas for Functional Imaging,,Theime Medical Publishers,,"Wieslaw L. Nowinski, A. Thirunavuukarasuu, and David N. Kennedy; Kent Ridge Digital Labs, Singapore, and Massachusetts General Hospital",wieslaw@krdl.org.sg,http://www.cerefy.com/,,Order it from Theime,,,No,,Yes,"Written in Macromedia Director; Runs on Mac's and Windows machines, and?",,,,"atlas, functional, HBP supported, registration, visualization","MacOS, Windows",11 Apr 2003,"This is a CD ROM Product distributed by Theime Medical Publishers. It supports a complete electronic version of the Talairach Atlas, as well as gyral-level description of the human brain. In addition, this tool permits the incorporation of user image data, both structural and functional, into the viewer for direct co-visualization with the atlas.|This CD-ROM provides numerous tools for the analysis of functional images: It contains the fully color-coded and labeled Talairach-Tournoux brain atlas in the axial, coronal and sagittal orientations, along with Brodmann's areas and gyri in the axial orientation.| -Allows anatomical and functional images to be loaded and registered.| -Enables interactive placement of the Talairach landmarks in 3D Space.| -Provides automatic data-to-atlas warping based on the Talairaich proportional grid system transformation. In addition, real-time interactive warping for fine tuning is available.| -Allows the user to place marks on the activation loci in the warped functional images, display these marks with the atlas, and edit them simultaneously on the axial, cornal and sagittal orientations. Mark placement is assisted by a grey-value thresholding feature.| -Provides simultaneous display of the atlas, anatomical image and functional image withing one interactively blended image. Atlas-data blending and anatomical-functional image blending are controlled independently.| -Labels the data by means of the atlas. The atlas can be flipped left/right so that Brodmann's areas areas and gyri can be labeled on both hemispheres.| -Provides additional functions such as friendly navigation, simultaneous display of axial, coronal and sagittal atlas plates, cross-referenced display, image and atlas sequencing, readout of the Talairach coordinates and intensities, save, print, help."
SureFit,,Washington University in St. Louis School of Medicine,,"Heather Drury, David Van Essen & Donna Hanlon",donna@wustl.edu,http://brainmap.wustl.edu,public,Registration at http://brainmap.wustl.edu/resources/surefitnew.html,4.43,1/27/2003,Yes,GPL,Yes,"After we receive your registration, we will e-mail the information needed to download the software. Hardware/Software Requirements: Silicon Graphics (IRIX 6.2 or later), Linux INTEL, or Sun Solaris operating systems. At least 256Mbytes memory required. Software takes up to 200Mbytes disk space; a typical case (hemisphere) consumes a few hundred Mbytes of disk space.","Van Essen, D.C., Dickson, J., Harwell, J., Hanlon, D., Anderson, C.H. and Drury, H.A. 2001. An Integrated Software System for Surface-based Analyses of Cerebral Cortex. Journal of American Medical Informatics Association. 8:443-459 (Downloadable from our website).",,,"HBP supported, segmentation, surface analysis, visualization, volume","IRIX, Linux, SunOS, UNIX",22 Sep 2005,Note: SureFit was merged into / superseded by Caret effective April 2005. We recommend you use Caret instead of SureFit. SureFit (Surface Reconstruction by Filtering and Intensity Transformations) is a software package for visualizing volume and surface data and for generating segmentations and surface reconstructions of the cerebral cortex. SureFit is based on a probabilistic approach to shape analysis that capitalizes on many of the cues used by the human visual system in recognizing cortex in neuroimaging data. The SureFit User's Guide contains detailed tutorials for surface visualization and flattening using downloadable exemplar data sets
SuMS,,Washington University School of Medicine,,"James Dickson, David Van Essen, Donna Hanlon & Heather Drury",jdickson@brainvis.wustl.edu,http://sumsdb.wustl.edu:8081,Freely available and accessible via web browser,http://sumsdb.wustl.edu:8081,,,No,,Yes,standard web browser,"For PDF versions of many of our publications, see http://brainmap.wustl.edu/resources/papers.html David C. Van Essen, A Population-Average, Landmark- and Surface-based (PALS) atlas of human cerebral cortex, NeuroImage, In Press|Van Essen, D.C., Harwell, J., Hanlon, D, and Dickson, J., 2005. Surface-Based Atlases and a Database of Cortical Structure and Function. In, Databasing the Brain, From Data to Knowledge (Neuroinformatics. S.H. Koslow and S. Subramaniam, eds., John Wiley & Sons, NJ, pp. 369-388. Watkins KE, Paus T, Lerch JP, Zijdenbos A, Collins DL, Neelin P, Taylor J, Worsley KJ, Evans Van Essen, D.C., 2002. Windows on the brain. The emerging role of atlases and databases in neuroscience. Curr. Op. Neurobiol. 12, 574-579.|Van Essen, D.C., Dickson, J., Harwell, J., Hanlon, D., Anderson, C.H. and Drury, H.A. 2001. An Integrated Software System for Surface-based Analyses of Cerebral Cortex. Journal of American Medical Informatics Association . (Special issue on the Human Brain Project. 8, 443-459.",,,"atlas, database storage retrieval, HBP supported, segmentation, surface analysis, visualization, volume","HPUX, IRIX, Linux, MacOS, SunOS, UNIX, Windows",22 Sep 2005,"SumsDB (Surface Management System Database) is a database for efficient entry, storage, and retrieval of surface-related data. A browser interface allows easy search and retrieval of data contained in SumsDB."
Stimulate,,CMRR - University of Minnesota,,John P. Strupp,stimulate@cmrr.umn.edu,www.cmrr.umn.edu/stimulate,,ftp://ftp.cmrr.umn.edu/pub/stimulate/stimulate_v5.9,,,Not recorded,,Yes,"X-windows on IRIX, SunOS, or Linux","J. P. Strupp, ``Stimulate: A GUI based fMRI Analysis Software Package.'' NeuroImage, Volume 3, Number 3 June 1996, Page S607",,,"functional, statistical","IRIX, Linux, SunOS, UNIX",Before February 2002,Stimulate is a GUI (Graphical User Interface) based fMRI (functional Magnetic Resonance Imaging) analysis software package. It offers a comprehensive set of fMRI analysis tools integrated into a single package that was designed for both convenient and flexible data processing. The user-friendly GUI allows the user to simply 'point and click' with the mouse to modify analysis or display variables. Activation maps can be calculated from the fMRI data and overlaid onto aMRI (anatomic MRI) image displays
FSL,The FMRIB Software Library,"FMRIB, Oxford University",Supports full reading and writing of both nifti-1 and Analyze since version 3.2,"FMRIB Image Analysis Group, Oxford University",fsl@jiscmail.ac.uk,www.fmrib.ox.ac.uk/fsl,,From website,3.3.7 (automatically updated nightly),"July 21, 2006 (automatically updated nightly)",No,,Yes,"UNIX - sources distributed, and binaries available for Linux, MacosX, Sun (Solaris), SGI (IRIX), Alpha (TRU64).",www.fmrib.ox.ac.uk/analysis/fmribindex and http://www.fmrib.ox.ac.uk/analysis/techrep,www.fmrib.ox.ac.uk/analysis/fmribindex and http://www.fmrib.ox.ac.uk/analysis/techrep,,"functional, NIfTI-1 support, registration, segmentation, statistical, volume, warping","Alpha TRU64, IRIX, Linux, MacOS, SunOS, UNIX",18 Apr 2006,"The FMRIB Software Library (FSL) is a collection of functional and structural brain image analysis tools. FSL is completely self-contained. Most of the tools can be run both from the unix command line and as GUIs (easy to use 'point-and-click' graphical user interfaces) in unix. You do not need any other software in order to use FSL. However, if you have MEDx, you can configure it to seamlessly access the FSL GUIs. MEDx is a GUI-driven commercial image analysis and display package, available from Sensor Systems. The latest version of MEDx (3.4) comes with a previous FSL release (1.2a) built in.|LIST OF TOOLS IN FSL|STRUCTURAL TOOLS|BET - Brain Extraction Tool - segments brain from non-brain in structural and functional data.|SUSAN - Nonlinear noise reduction.|FAST - FMRIB's Automated Segmentation Tool - brain segmentation (into different tissue types) and bias field correction.|FLIRT - FMRIB's Linear Image Registration Tool - linear inter- and intra-modal registration.|FUGUE - Unwarps distortion in EPI images using B0 field maps.|SIENA - Structural brain change analysis, for estimating brain atrophy.| (BET, FLIRT and FUGUE are also used in FMRI analysis),|FUNCTIONAL TOOLS|FEAT - Advanced FMRI analysis with easy-to-use yet powerful GUI. Includes all necessary preprocesing, model-based and semi-model-free statistical analysis, automatic registration to structural and/or standard space, and fixed- and random-effects group statistics.|MCFLIRT - FMRI motion correction.|MELODIC - ICA-based model-free analysis of FMRI (and other 4D) data."
SPM5,,"Wellcome Department of Imaging Neuroscience, 12 Queen Square, London WC1N 3AR, UK.","SPM5 supports reading and writing of nifti-1. Analyze images can still be read, but all images will be written out as nifti-1. SPM5andNIFTI1 for more information.",Methods Group of the Wellcome Department of Imaging Neuroscience + others,j.ashburner@fil.ion.ucl.ac.uk,http://www.fil.ion.ucl.ac.uk/spm,By ftp via Web registration,Via Download registration form,SPM2 and SPM5b,"SPM5 (1st Dec, 2005)",Yes,copyleft,Yes,See the SPM Software web pages,"Friston KJ, Ashburner J, Poline JB, Frith CD, Heather JD, Frackowiak RSJ (1995). 'Spatial Registration and Normalization of Images'. Human Brain Mapping 2:165-189.|Friston KJ, Holmes AP, Worsley KJ, Poline JP, Frith CD, Frackowiak RSJ (1995). 'Statistical Parametric Maps in Functional Imaging: A General Linear Approach'. Human Brain Mapping 2:189-210.|Friston KJ, Holmes A, Poline J-B, Price CJ & Frith CD (1995). 'Detecting Activations in PET and fMRI: Levels of Inference and Power'. Neuroimage 4:223-235.",Many,See the SPM Documentation page,"functional, NIfTI-1 support, registration, segmentation, statistical, visualization, volume, warping","Linux, MacOS, MATLAB, SunOS, UNIX, Windows",01 Feb 2006,"Images are spatially normalised into a standard space, and smoothed.|Parametric statistical models are assummed at each voxel, using the General Linear Model to describe the variability in the data in terms of experimental and confounding effects, and residual variability. Hypotheses expressed in terms of the model parameters are assessed at each voxel with univariate statistics. This gives an image whose voxel values are statistics, a Statistic Image, or Statistical Parametric Map (SPM{t}, SPM{F}) Temporal convolution of the General Linear Model for fMRI enables the application of results from serially correlated regression, permitting the construction of statistic images from fMRI time series.|The multiple comparisons problem of simultaneously assessing all the voxel statistics is addressed using the theory of continuous random fields, assumming the statistic image to be a good lattice representation of an underlying continuous stationary random field. Results for the Euler characteristic lead to corrected p-values for each voxel hypothesis. In addition, the theory permits the computation of corrected p-values for clusters of voxels exceeding a given threshold, and for entire sets of supra-threshold clusters, leading to more powerful statistical tests at the expense of some localising power."
Blox,,Kennedy Krieger Institute & Johns Hopkins Hospital,,"Patrick Barta, M.D., Ph. D.",patr@jhmi.edu,http://pni.med.jhu.edu/blox/,Free under GNU Public License,"WWW Site, or email",,,Not recorded,,Yes,Blox requires the Java Runtime Environment (JRE) from Sun; version 1.3.1 is recommended. At least 512 MB of RAM is recommended; 1 GB is ideal. Blox macros can be custom written in Scheme; EdScheme editor is recommended for editing ease,,,,"registration, segmentation, visualization, volume","Java, Linux, SunOS, UNIX, Windows",Before February 2002,"Blox is a quantitative medical imaging and visualization program for use on brain MR, DTI, and MRS data. It is a joint project of the Kennedy Krieger Institute and the Johns Hopkins University Psychiatric Neuroimaging Lab."
AFNI,,,Version AFNI_2005_09_06_0927 (current release) : supports reading and writing of NIfTI-1.1 images -- see http://nifti.nimh.nih.gov/nifti-1 for more details,"Robert W Cox, PhD",rwcox@nih.gov,http://afni.nimh.nih.gov/afni/,"now and forever, one and inseparable",See Website,AFNI_2006_06_30_1332 (automatically updated nightly),"June 30, 2006 (automatically updated nightly)",No,,Yes,"AFNI runs under Unix/Linux and Mac OS X (to a limited extent on Windows via Cygwin).|It is probably best to recompile the source code yourself, which requires an ANSI C compiler and X11/Motif libraries. However, binaries are available for some configurations (Linux, Solaris, Mac OS X, Irix).|Some operations are quite memory intensive (e.g., volume registration). We recommend at least 2 GB of RAM. And, of course, all the disk space in the world.","RW Cox. AFNI: Software for analysis and visualization of functional magnetic resonance neuroimages. Computers and Biomedical Research, 29:162-173, 1996.|RW Cox and JS Hyde. Software tools for analysis and visualization of FMRI Data. NMR in Biomedicine, 10:171-178, 1997.|RW Cox and A Jesmanowicz. Real-time 3D image registration for functional MRI. Magnetic Resonance in Medicine, 42: 1014-1018, 1999.","First 3 of more than 200 listed at http://afni.nimh.nih.gov/ssc/afni_papers.shtml|Binder JR, Frost JA, Hammeke TA, et al. Human brain language areas identified by functional magnetic resonance imaging. J NEUROSCI 17: (1) 353-362 JAN 1 1997|Braver TS, Cohen JD, Nystrom LE, et al. A parametric study of prefrontal cortex involvement in human working memory NEUROIMAGE 5: (1) 49-62 JAN 1997|Cohen JD, Perlstein WM, Braver TS, et al. Temporal dynamics of brain activation during a working memory task. NATURE 386: (6625) 604-608 APR 10 1997",AFNI incorporates much of the Talairach Daemon database from RIC/UTHSCSA (Fox and Lancaster),"functional, NIfTI-1 support, registration, statistical, surface analysis, visualization, volume","IRIX, Linux, MacOS, SunOS, UNIX",21 Sep 2005,"AFNI is a set of C programs for processing, analyzing, and displaying functional MRI (FMRI) data. It is freely distributed (in source code format, and some precompiled binaries) for research purposes.|Since AFNI is free, all users are 'beta testers for life'. The code is updated frequently in response to bug reports and feature creep. There is no support guarantee, but in practice you can usually get a quick response by posting problems/questions on the AFNI Message Board."
MEDx,,"Sensor Systems, Inc.",,"Sensor Systems, Inc.",medx@sensor.com,http://medx.sensor.com/products/medx/,,"Contact Sensor Systems, Inc.",3.4.3,,No,,Yes,,,"First 3 of more than 30 listed at http://medx.sensor.com/products/medx/publications.html|Boakye M, Huckins SC, Szeverenyi NM, Taskey BI, and Hodge CJ. 'Functional magnetic resonance imaging of somatosensory cortex activity by electrical stimulation of the median nerve or tactile stimulation of the index finger', J Neurosurg 93:774-783 (2000).|Carlson S, Martinkauppi S, Rama P, Salli E, Korvenoja A, and Aronen HJ. 'Distribution of Cortical Activation during Visuospatial n-back Tasks as Revealed by Functional Magnetic Resonance Imaging.' Cerebral Cortex 1988; 8 (8): 743-52.|Chee MWL, Tan EWL, and Thiel T. 'Mandarin and English Single Word Processing Studied with fMRI.' J Neuroscience 1999, 19: 3050-3056.",,"functional, registration, segmentation, statistical, visualization","Compaq Alpha Tru64, IRIX, Linux, SunOS",23 Jan 2006,"MEDx is highly optimized, portable software for the visualization, processing, and analysis of medical images. Designed especially for medical imaging researchers and system developers, MEDx brings multi-modality, multi-dimensional image processing functionality to the medical imaging research community. With MEDx, users display images and control menus using the industry-standard XWindow display system and Tcl/Tk interface language. MEDx transforms your computer into a powerful image processing workstation that displays, analyzes, and processes your medical image data in a myriad of innovative ways."
BrainVoyager,,Brain Innovation B.V,"A converter plugin will be available for the current BrainVoyager QX 1.3 on Windows, Mac OS X and Linux. First release is planned for HBM in June 2005; that release will support at least conversion to the most important BVQX formats. Python conversion scripts will be available the latest before HBM. Plugin and scripts will support both reading and writing of nifti-1.",Brain Innovation B.V,infos@brainvoyager.de,http://www.BrainVoyager.de/,See web site,See web site,4.6,,No,"Single, Network",No,"Recommended hardware BrainVoyager 2000 runs on Intel (Pentium, Pentium Pro, Pentium II / III / IV) and AMD Athlon processors with the Microsoft Windows XP, 2000, NT 4.0, 95, 98, ME operating system as well as on DEC Alpha workstations running Windows NT 4.0. BrainVoyager QX runs on the same Windows platforms as well as on Linux/Unix and Mac OS X. The program requires a minimum of 128 MB RAM and at least 15 bit color graphics. Using the base module only (2D routines and 3D volume tools): - Intel Pentium with 166 MHZ or better, Pentium Pro, Pentium II / III / IV, AMD Athlon - 128+ MB system memory - Fast 2D graphics board (e.g., Matrox Millenium / Mystique / NVIDIA TNT) - 15 bit color depth; optimum: 16 bit color depth - At least 8 GB hard disk - 17 inch monitor or better Using the surface module (e.g. for head and cortex reconstruction/visualization and MEG/EEG integration): - Pentium II with 300 MHZ or better - Optimum: Dual Pentium IV with 1.4 GHZ or better, AMD Athlon with 1 GHZ or better, DEC Alpha with 500 MHZ or better. BrainVoyager supports multi-processor platforms on Windows NT 4.0 and Windows 2000 - 256+ MB system memory (minimum 128 MB) - Open-GL accelerating graphics board with at least 16 MB graphics memory (32 MB recommended). The currently best price/performance is offered by all graphics boards based on the NVIDIA GeForce family. Boards based on this chip are available for ca. USD 250 (e.g., Creative Labs' Annihilator, ELSA Erazor X, Guillemot Prophet 3D). The OpenGL performance of these boards is as least as good as that of expensive CAD graphics boards. Such boards are in a price range of 1000 - 4000 USD and available from 3DLabs (e.g, Oxygen GMX 2000), Compaq (e.g., Powerstorm 4D30T, 4D60T, also for the Alpha) and Intergraph (Wildcat 4000) among others. Excellent OpenGL performance is also offered by the NT-based Visual Workstations from SGI which now also use NVIDIA chips. - 16 bit color depth Optimum: 24 / 32 bit color depth (= 16.7 million colors) - At least 20 GB hard disk - 19+ inch monitor Example hardware platforms used by the author of BrainVoyager - Dell Precision Workstation 420, Dual Pentium III 733 MHZ, 256 MB, ASUS V7700 GeForce2, 21' monitor (1280 x 1024 true color) (ca. 4000 USD) - AMD Athlon, 800 MHZ, 256 MB, ASUS V7700 GeForce, 19' monitor (ca. 3000 USD) - SGI Visual Workstation, Dual Pentium III 500 MHZ, 256 MB, high-resolution TFT flat panel (ca. 7000 USD) - Dell Inspiron Notebook, 1 GHZ, 256 MB, 15' TFT display (1600 x 1280 resolution) (ca. 4000 USD)",,"Three of many at website.|Kriegeskorte, N. & Goebel, R. (2001). An efficient algorithm for topologically correct segmentation of the cortical sheet in anatomical MR volumes. NeuroImage, 14, 329-346|Vaughan, J.T., Garwood, M., Collins, C.M., Liu, W., DelaBarre, L., Adrainy, G., Andersen, P., Merkle, H., Goebel, R., Smith, M.B. & Ugurbil, K. (2001). 7T vs. 4T: RF power, homogeneity, and signal-to-noise comparison in head images. Magnetic Resonance in Medicine, 46, 24-30.|Goebel, R., Muckli, L., Zanella, F.E., Singer, W. & Stoerig, P. (2001). Sustained extrastriate cortical activation without visual awareness revealed by fMRI studies of hemianopic patients. Vision Research, 41, 1459-1474.",,"functional, NIfTI-1 support, registration, segmentation, statistical, surface analysis, visualization, volume, warping","Linux, MacOS, UNIX, Windows",02 May 2002,"BrainVoyager QX / 2000 is a highly optimized and user friendly software package for the analysis and visualization of functional and structural magnetic resonance imaging data sets.|Highlights| - Extremely fast and highly optimized 2D and 3D analysis and visualization routines| - Standard and advanced volume-based statistical analysis methods including conjunction and random effects analysis| - Integration of volume and surface rendering with powerful tools for creation of high-quality figures and movies| - Advanced methods for automatic brain segmentation, surface reconstruction, cortex inflation and flattening| - Cortex-based statistical data analysis and inter-subject alignment based on gyral / sulcal pattern| - Creation ('seeding') and visualization of EEG / MEG multiple dipole models (in combination with BESA 2000),| - Multi-processor support, open architecture including scripting and automation support| - Programmable with all major computer languages (i.e. C/C++, VB, Java) and Matlab through COM-based interfaces| - Comprehensive solution embodied in a single program| - The only complete solution available for Windows XP / 2000 / NT 4.0 / ME / 98 / 95, Linux/Unix and Mac OS X"
Analyze,,Mayo Clinic,,Richard Robb,,http://www.mayo.edu/bir/Software/Analyze/Analyze.html,,See website http://www.mayo.edu/bir/Software/HowToGet.html,,,No,,No,,,,,"registration, segmentation, visualization, volume","AIX, DEC Alpha, HPUX, IRIX, Linux, SunOS, Windows",23 Jan 2006,"The algorithms and programs developed through this research have formed the basis for integrated, comprehensive software systems developed by the Biomedical Imaging Resource, useful in a variety of multimodality, multidimensional biomedical imaging and scientific visualization applications. These integrated suites of complementary tools for fully interactive display, manipulation, and measurement of multidimensional biomedical images have been used in applications involving many different imaging modalities, including CT, MRI, SPECT, PET, ultrasound and digital microscopy."
3D Slicer,,"MIT AI Lab; Surgical Planning Lab, Brigham and Women's Hospital",Yes - supported via the ITK IO factory. Read and Write for single component volumes,"MIT AI Lab and Surgical Planning Lab, Brigham and Women's Hospital, Harvard Medical School",slicer@ai.mit.edu,www.slicer.org,Free,Download information is at www.slicer.org,2.6,"Spring, 2006",Yes,"Open Source, BSD-style license",Yes,"Binaries provided for: Microsoft Windows XP, Mac OSX and Sun Solaris, Linux 32 and 64 bit. Source code can also be compiled for Linux and other Unix systems. OpenGL hardware and plenty of memory suggested.","Available on-line at slicer.org: D. Nain, S. Haker, R. Kikinis, E. Grimson. An Interactive Virtual Endoscopy Tool . In Proceedings of IMIVA 2001, workshop of MICCAI 2001, Utrecht, The Netherlands. October 2001.|P. Everett et al. A 3D System for Planning and Simulating Minimally-Invasive Distraction Osteogenesis of the Facial Skeleton . In Proceedings of Third International Conference On Medical Robotics, Imaging and Computer Assisted Surgery, Pittsburgh, Pennsylvania, USA. 2000. pp.1029-1039. SPL Technical Report #180, posted October 2000.|D. Gering, A. Nabavi, R. Kikinis, W. Eric L. Grimson, N. Hata, P. Everett, F. Jolesz, W. Wells III. An Integrated Visualization System for Surgical Planning and Guidance using Image Fusion and Interventional Imaging. Medical Image Computing and Computer-Assisted Intervention (MICCAI), Cambridge England, Sept 1999. |D. Gering. A System for Surgical Planning and Guidance using Image Fusion and Interventional MR. MIT Master's Thesis, 1999.","Available on-line at slicer.org: Nabavi et al. Image Guided Neurosurgery Visualization of Brain Shift. In Navigated Brain Surgery, pp 17-26. Eds. Spetzger, Stiehl, Gilsbach, ISBN 3-89653-553-6, Aachen 1999. SPL Technical Report #124, posted July 1999.",,"BIRN, diffusion, functional, NA-MIC (NCBC), NIfTI-1 support, registration, segmentation, visualization, volume, warping","Linux, MacOS, UNIX, Windows",15 May 2006,"The 3D Slicer is freely available, open-source software for visualization, registration, segmentation, and quantification of medical image data. Slicer provides a graphical user interface to a powerful set of tools so they can be used by end-user clinicians and researchers alike. Slicer is based on VTK (http://public.kitware.com/vtk) and has a modular architecture for easy addition of new functionality. Slicer uses an XML-based file format called MRML - Medical Reality Markup Language which can be used as an interchange format among medicical imaging applications. Slicer is primarily written in C++ and Tcl."
xv,,John Bradley,,John Bradley,,http://www.trilon.com/xv/,,See web site,3.10a,,No,,No,,,,,visualization,"HPUX, IRIX, Linux, SunOS",23 Jan 2006,"xv is an interactive image manipulation program for the X Window System. It can operate on images in the GIF, JPEG, TIFF, PBM, PGM, PPM, XPM, X11 bitmap, Sun Rasterfile, Targa, RLE, RGB, BMP, PCX, FITS, and PM formats on all known types of X displays. It can generate PostScript files, and if you have ghostscript (version 2.6 or above) installed on your machine, it can also display them. (From the xv web site)"
Gimp,,Peter Mattis and Spencer Kimball,,Peter Mattis and Spencer Kimball,,http://www.gimp.org/,,See web site,2.3.6,"December 28, 2005",Yes,,Yes,,,,,visualization,"MacOS, UNIX, Windows",04 Aug 2006,"The GIMP is the GNU Image Manipulation Program. It is a freely distributed piece of software suitable for such tasks as photo retouching, image composition and image authoring. This site contains information about downloading, installing, using, and enhancing GIMP. This site also serves as a distribution point for the latest releases, patches, plugins, and scripts. We also try to provide as much information about the GIMP community and related projects as possible. (From the Gimp web site)"
ImageMagick,,ImageMagick Studio LLC,,,,http://www.imagemagick.org/,,See web site,6.2.6,,No,,Yes,,,,,visualization,"Linux, MacOS, OS/2, UNIX, VMS, Windows",23 Jan 2006,"ImageMagickTM is a robust collection of tools and libraries to read, write, and manipulate an image in many image formats (over 68 major formats) including popular formats like TIFF, JPEG, PNG, PDF, PhotoCD, and GIF. With ImageMagick you can create images dynamically, making it suitable for Web applications. You can also resize, rotate, sharpen, color reduce, or add special effects to an image and save your completed working the same or differing image format. Image processing operations are available from the command line, as well as through C, C++, and PERL-based programming interfaces. (From the web site)"
form*Z,,auto*des*sys,,,,http://www.formz.com/,,See web site,5.5.2,"January 12, 2006",No,,Yes,,,,,"visualization, volume","MacOS, Windows",23 Jan 2006,"form*Z is an award winning general purpose solid and surface modeler with an extensive set of 2D/3D form manipulating and sculpting capabilities, many of which are unique. It is an effective design tool for architects, landscape architects, urban designers, engineers, animators and illustrators, industrial and interior designers, and all design fields that deal with the articulation of 3D spaces and forms. form*Z is highly responsive to the needs of mature designers and, at the same time, novices can use it with ease.| (From the form*Z web site.)"
MeVisLab,,MeVis,,,,http://www.mevislab.de/index.php?id=6,,See web site,,,Not recorded,,Yes,,,,,,IRIX,23 Jan 2006,"In MeVisLab, individual image processing, visualization and interaction modules can be combined to complex image processing networks using a graphical programming approach. Own algorithms can easily be integrated using a modular, platform-independent C++ class library. An abstract, hierarchical definition language allows the design of efficient graphical user interfaces, hiding the complexity of the underlying module network to the end user. JavaScript components can be added to implement dynamic functionality on both the network and the user interface level. MeVisLab is based on the Qt application framework, the OpenInventor 3D visualization toolkit and OpenGL.|Feature Summary:| + Basic image processing algorithms and advanced medical imaging modules| + Full featured, flexible 2D/3D visualization and interaction tools| + Modular, expandable C++ image processing library| + Object-oriented GUI definition and scripting DICOM support and PACS integration| + Intuitive user interface| + Integrated movie and screenshot generation for demonstration purposes| + Generic integration of the Insight toolkit (ITK) as AddOn| (From the MeVisLab web site.)"
Edgewarp3D,,The University of Michigan/Visible Human Project,,,,http://vhp.med.umich.edu/edgewarpss.html,,See web site,3.2.7,,No,,Yes,,,,,"visualization, volume, warping","IRIX, Linux",23 Jan 2006,"Edgewarp3D is a sophisticated workstation package for manipulation of 2D and 3D biomedical images and related data structures by a combination of landmark location, thin-plate spline, and image unwarping and averaging."
3DViewnix,,The University of Pennsylvania,,Jayaram K. Udupa,vhelp@mipg.upenn.edu,http://mipgsun.mipg.upenn.edu/~Vnews/,Free trial download available. Full source code available with payment,See web page,,,Not recorded,,No,X Window visual class PseudoColor or DirectColor w/ 256 colormap entries,See web page,See web page,,"registration, segmentation, visualization, volume","HPUX, IRIX, Linux, SunOS, UNIX",03 Apr 2002,"3DViewnix is a data-, machine-, and application- independent software system for the visualization and analysis of multidimensional images."
Amira,,Visual Concepts GmbH,,Indeed - Visual Concepts GmbH,info@amiravis.com,http://www.amiravis.com,Evaluation version available for download. Commercially available,Evaluation version available for download. See web site,3.1.1,,No,Commercial product,No,,,,Evaluation version free for download,"reconstruction, segmentation, visualization, volume","HPUX, IRIX, Linux, SunOS, Windows",23 Jan 2006,"Wherever 3D data sets have to be processed, e.g. in medicine, biology, physics or engineering, Amira offers fascinating new opportunities.|State-of-the-art visualization techniques allow you to gain detailed insight into your data. Graphics hardware support is utilized to display even very large data sets at interactive speed.|Powerful automatic and interactive segmentation tools support processing of 3D image data. Novel, fast, and robust reconstruction algorithms make it easy to create polygonal models from segmented objects.|In addition, true volumetric tetrahedral meshes can be generated, suitable for advanced finite-element simulations. Simulation results as well as other data defined on a variety of different grids can be investigated using a large set of powerful visualization methods.| (From the Amira web site.)"
BrainInfo,,"University of Washington, Seattle",,Douglas M.Bowden and others,http://braininfo.rprc.washington.edu,http://braininfo.rprc.washington.edu,Web Site,,,,Not recorded,,Yes,Microsoft Explorer preferred for atlas navigator,,,,atlas,"HPUX, IDL, IRIX, Linux, MacOS, MATLAB, SunOS, UNIX, Windows",22 Feb 2005,"BrainInfo is a website that helps one identify structures in the brain and provides many different kinds of information about each structure. It consists of three basic knowledge bases: NeuroNames, which provides the index to brain structures and narrative information about them; the Template Atlas, which shows the structures that are found in the primate brain; and NeuroMaps, a set of several hundred overlays that will show the location of different kinds of information that have been mapped to the standard background maps (templates) of the Atlas. Information about brain structures in other species, particularly the human, is provided by links to other websites."
